Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet_div_2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf_div_2tf,b_div_t,b_div_tdes,h_div_tw,h_div_tdes,D_div_t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan_,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS12X12X.375,HSS12X12X3/8,F,58.1,16,NaN,NaN,12,11,NaN,NaN,NaN,12,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375,0.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.4,NaN,31.4,NaN,357,69.2,59.5,4.73,357,69.2,59.5,4.73,NaN,NaN,NaN,561,NaN,94.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X12X.313,HSS12X12X5/16,F,48.86,13.4,NaN,NaN,12,11.1,NaN,NaN,NaN,12,11.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.2,NaN,38.2,NaN,304,58.6,50.7,4.76,304,58.6,50.7,4.76,NaN,NaN,NaN,474,NaN,79.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X12X.250,HSS12X12X1/4,F,39.43,10.8,NaN,NaN,12,11.3,NaN,NaN,NaN,12,11.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.5,NaN,48.5,NaN,248,47.6,41.4,4.79,248,47.6,41.4,4.79,NaN,NaN,NaN,384,NaN,64.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X12X.188,HSS12X12X3/16,F,29.84,8.15,NaN,NaN,12,11.5,NaN,NaN,NaN,12,11.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1875,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,66,NaN,189,36,31.5,4.82,189,36,31.5,4.82,NaN,NaN,NaN,290,NaN,48.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X10X.500,HSS12X10X1/2,F,69.27,19,NaN,NaN,12,10.6,NaN,NaN,NaN,10,8.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5,NaN,22.8,NaN,395,78.8,65.9,4.56,298,69.6,59.7,3.96,NaN,NaN,NaN,545,NaN,102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X10X.375,HSS12X10X3/8,F,53,14.6,NaN,NaN,12,11,NaN,NaN,NaN,10,8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375,0.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.7,NaN,31.4,NaN,310,61.1,51.6,4.61,234,54,46.9,4.01,NaN,NaN,NaN,421,NaN,78.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X10X.313,HSS12X10X5/16,F,44.6,12.2,NaN,NaN,12,11.1,NaN,NaN,NaN,10,9.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.4,NaN,38.2,NaN,264,51.7,44,4.64,200,45.7,40,4.04,NaN,NaN,NaN,356,NaN,66.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X10X.250,HSS12X10X1/4,F,36.03,9.9,NaN,NaN,12,11.3,NaN,NaN,NaN,10,9.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.9,NaN,48.5,NaN,216,42.1,36,4.67,164,37.2,32.7,4.07,NaN,NaN,NaN,289,NaN,53.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X8X.625,HSS12X8X5/8,F,76.33,21,NaN,NaN,12,10.3,NaN,NaN,NaN,8,6.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.625,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8,NaN,17.7,NaN,397,82.1,66.1,4.34,210,61.9,52.5,3.16,NaN,NaN,NaN,454,NaN,97.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X8X.500,HSS12X8X1/2,F,62.46,17.2,NaN,NaN,12,10.6,NaN,NaN,NaN,8,6.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2,NaN,22.8,NaN,333,68.1,55.6,4.41,178,51.5,44.4,3.21,NaN,NaN,NaN,377,NaN,80.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X8X.375,HSS12X8X3/8,F,47.9,13.2,NaN,NaN,12,11,NaN,NaN,NaN,8,6.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375,0.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.9,NaN,31.4,NaN,262,53,43.7,4.47,140,40.1,35.1,3.27,NaN,NaN,NaN,293,NaN,62.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X8X.313,HSS12X8X5/16,F,40.35,11.1,NaN,NaN,12,11.1,NaN,NaN,NaN,8,7.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.5,NaN,38.2,NaN,224,44.9,37.4,4.5,120,34.1,30.1,3.29,NaN,NaN,NaN,248,NaN,52.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X8X.250,HSS12X8X1/4,F,32.63,8.96,NaN,NaN,12,11.3,NaN,NaN,NaN,8,7.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.3,NaN,48.5,NaN,184,36.6,30.6,4.53,98.8,27.8,24.7,3.32,NaN,NaN,NaN,202,NaN,42.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X8X.188,HSS12X8X3/16,F,24.73,6.76,NaN,NaN,12,11.5,NaN,NaN,NaN,8,7.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1875,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,NaN,66,NaN,140,27.8,23.4,4.56,75.7,21.1,18.9,3.35,NaN,NaN,NaN,153,NaN,32.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X6X.625,HSS12X6X5/8,F,67.82,18.7,NaN,NaN,12,10.3,NaN,NaN,NaN,6,4.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.625,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.33,NaN,17.7,NaN,321,68.8,53.4,4.14,107,42.1,35.5,2.39,NaN,NaN,NaN,271,NaN,71.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X6X.500,HSS12X6X1/2,F,55.66,15.3,NaN,NaN,12,10.6,NaN,NaN,NaN,6,4.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.9,NaN,22.8,NaN,271,57.4,45.2,4.21,91.1,35.2,30.4,2.44,NaN,NaN,NaN,227,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X6X.375,HSS12X6X3/8,F,42.79,11.8,NaN,NaN,12,11,NaN,NaN,NaN,6,4.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375,0.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2,NaN,31.4,NaN,215,44.8,35.9,4.28,72.9,27.7,24.3,2.49,NaN,NaN,NaN,178,NaN,45.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X6X.313,HSS12X6X5/16,F,36.1,9.92,NaN,NaN,12,11.1,NaN,NaN,NaN,6,5.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6,NaN,38.2,NaN,184,38.1,30.7,4.31,62.8,23.6,20.9,2.52,NaN,NaN,NaN,152,NaN,38.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X6X.250,HSS12X6X1/4,F,29.23,8.03,NaN,NaN,12,11.3,NaN,NaN,NaN,6,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.8,NaN,48.5,NaN,151,31.1,25.2,4.34,51.9,19.3,17.3,2.54,NaN,NaN,NaN,124,NaN,31.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X6X.188,HSS12X6X3/16,F,22.18,6.06,NaN,NaN,12,11.5,NaN,NaN,NaN,6,5.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1875,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.5,NaN,66,NaN,116,23.7,19.4,4.38,40,14.7,13.3,2.57,NaN,NaN,NaN,94.6,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X4X.625,HSS12X4X5/8,F,59.32,16.4,NaN,NaN,12,10.3,NaN,NaN,NaN,4,2.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.625,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.88,NaN,17.7,NaN,245,55.5,40.8,3.87,40.4,24.5,20.2,1.57,NaN,NaN,NaN,122,NaN,44.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X4X.500,HSS12X4X1/2,F,48.85,13.5,NaN,NaN,12,10.6,NaN,NaN,NaN,4,2.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6,NaN,22.8,NaN,210,46.7,34.9,3.95,35.3,20.9,17.7,1.62,NaN,NaN,NaN,105,NaN,37.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X4X.375,HSS12X4X3/8,F,37.69,10.4,NaN,NaN,12,11,NaN,NaN,NaN,4,2.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375,0.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.46,NaN,31.4,NaN,168,36.7,28,4.02,28.9,16.6,14.5,1.67,NaN,NaN,NaN,84.1,NaN,29.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X4X.313,HSS12X4X5/16,F,31.84,8.76,NaN,NaN,12,11.1,NaN,NaN,NaN,4,3.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7,NaN,38.2,NaN,144,31.3,24.1,4.06,25.2,14.2,12.6,1.7,NaN,NaN,NaN,72.4,NaN,25.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X4X.250,HSS12X4X1/4,F,25.82,7.1,NaN,NaN,12,11.3,NaN,NaN,NaN,4,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2,NaN,48.5,NaN,119,25.6,19.9,4.1,21,11.7,10.5,1.72,NaN,NaN,NaN,59.8,NaN,20.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X4X.188,HSS12X4X3/16,F,19.63,5.37,NaN,NaN,12,11.5,NaN,NaN,NaN,4,3.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1875,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,66,NaN,91.8,19.6,15.3,4.13,16.4,9,8.2,1.75,NaN,NaN,NaN,46.1,NaN,15.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X3-1/2X.375,HSS12X3-1/2X3/8,F,36.41,10,NaN,NaN,12,11,NaN,NaN,NaN,3.5,2.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375,0.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.03,NaN,31.4,NaN,156,34.7,26,3.94,21.3,14,12.2,1.46,NaN,NaN,NaN,64.7,NaN,25.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X3-1/2X.313,HSS12X3-1/2X5/16,F,30.78,8.46,NaN,NaN,12,11.1,NaN,NaN,NaN,3.5,2.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.03,NaN,38.2,NaN,134,29.6,22.4,3.98,18.6,12.1,10.6,1.48,NaN,NaN,NaN,56,NaN,21.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X3X.313,HSS12X3X5/16,F,29.72,8.17,NaN,NaN,12,11.1,NaN,NaN,NaN,3,2.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.31,NaN,38.2,NaN,124,27.9,20.7,3.9,13.1,10,8.73,1.27,NaN,NaN,NaN,41.3,NaN,18.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X3X.250,HSS12X3X1/4,F,24.12,6.63,NaN,NaN,12,11.3,NaN,NaN,NaN,3,2.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.88,NaN,48.5,NaN,103,22.9,17.2,3.94,11.1,8.28,7.38,1.29,NaN,NaN,NaN,34.5,NaN,15.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X3X.188,HSS12X3X3/16,F,18.35,5.02,NaN,NaN,12,11.5,NaN,NaN,NaN,3,2.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1875,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2,NaN,66,NaN,79.6,17.5,13.3,3.98,8.72,6.4,5.81,1.32,NaN,NaN,NaN,26.8,NaN,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X2X.313,HSS12X2X5/16,F,27.59,7.59,NaN,NaN,12,11.1,NaN,NaN,NaN,2,1.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.87,NaN,38.2,NaN,104,24.5,17.4,3.71,5.1,6.05,5.1,0.82,NaN,NaN,NaN,17.6,NaN,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X2X.250,HSS12X2X1/4,F,22.42,6.17,NaN,NaN,12,11.3,NaN,NaN,NaN,2,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.58,NaN,48.5,NaN,86.9,20.1,14.5,3.75,4.41,5.08,4.41,0.845,NaN,NaN,NaN,15.1,NaN,9.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS12X2X.188,HSS12X2X3/16,F,17.08,4.67,NaN,NaN,12,11.5,NaN,NaN,NaN,2,1.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1875,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.49,NaN,66,NaN,67.4,15.5,11.2,3.8,3.55,3.97,3.55,0.872,NaN,NaN,NaN,12,NaN,7.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS10X10X.750,HSS10X10X3/4,T,89.5,24.7,NaN,NaN,10,7.91,NaN,NaN,NaN,10,7.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75,0.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.3,NaN,11.3,NaN,347,84.7,69.4,3.75,347,84.7,69.4,3.75,NaN,NaN,NaN,578,NaN,119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS10X10X.625,HSS10X10X5/8,F,76.33,21,NaN,NaN,10,8.26,NaN,NaN,NaN,10,8.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.625,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2,NaN,14.2,NaN,304,73.2,60.8,3.8,304,73.2,60.8,3.8,NaN,NaN,NaN,498,NaN,102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS10X10X.500,HSS10X10X1/2,F,62.46,17.2,NaN,NaN,10,8.6,NaN,NaN,NaN,10,8.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5,NaN,18.5,NaN,256,60.7,51.2,3.86,256,60.7,51.2,3.86,NaN,NaN,NaN,412,NaN,84.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS10X10X.375,HSS10X10X3/8,F,47.9,13.2,NaN,NaN,10,8.95,NaN,NaN,NaN,10,8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375,0.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.7,NaN,25.7,NaN,202,47.2,40.4,3.92,202,47.2,40.4,3.92,NaN,NaN,NaN,320,NaN,64.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS10X10X.313,HSS10X10X5/16,F,40.35,11.1,NaN,NaN,10,9.13,NaN,NaN,NaN,10,9.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3125,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.4,NaN,31.4,NaN,172,40.1,34.5,3.94,172,40.1,34.5,3.94,NaN,NaN,NaN,271,NaN,54.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSS,HSS10X10X.250,HSS10X10X1/4,F,32.63,8.96,NaN,NaN,10,9.3,NaN,NaN,NaN,10,9.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.9,NaN,39.9,NaN,141,32.7,28.3,3.97,141,32.7,28.3,3.97,NaN,NaN,NaN,220,NaN,44.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
